"Group","Label","Password","User Name","Email","URL","Created On","Expires On","Comment"
"Banking & Finance##Deutsche Bank","Deutsche Bank","22543","","","","2010-11-16","","Bank Account
Comment with
multiple lines"
"Banking & Finance##Deutsche Bank","MasterCard","","","","","2010-11-16","",""
"Computers, Communication & e-mail","ICQ","","","","","2010-11-16","",""
"Computers, Communication & e-mail","My PGP Key","144434365tfhgcfghcv","","","","2010-11-16","",""
"Computers, Communication & e-mail","Skype","","","","","2010-11-16","",""
"Computers, Communication & e-mail##E-Mail","Gmail","fh347fejjjfderu3Sdf2","googlemailer","foo@bar.com","https://mail.google.com/","2010-11-16","2011-11-16","Just a plain text comment.

And more text."
"Hobbies","Divemaster.com","","","","","2010-11-16","",""
"Hobbies","jogmap.de","","","","","2010-11-16","",""
"Lifestyle","chefkoch.de","","","","","2010-11-16","",""
"Others","A complex account template","","","","","2010-11-16","",""
"Portals","igoogle.com","","","","","2010-11-16","",""
"Portals","Netvibes","iPEYOlicas17","","","","2010-11-16","",""
"Shopping","amazon.com","fjhoeru23984kfbdsfcb","foobar@gmx.eu","foobar@gmx.eu","http://www.amazon.com","2010-11-16","",""
"Shopping","ebay","CohIVUPUtaz8","foobar","foobar@foo.com","http://www.ebay.com","2010-11-16","",""
"Social Networks","LinkedIn","4,]?/B1fJKqr","foo@gmx.eu","foo@gmx.eu","http://www.linkedin.com","2010-11-16","",""
"Social Networks","StudiVZ","","","","","2010-11-16","",""
"Work##How to take over the world","My Secret Project Plan","yoKuDaReyi42","","","","2008-01-16","2021-10-19",""
